price,area,type,road_width,width,floors,parking_slots,bedrooms,district_Quận Cầu Giấy,district_Quận Tây Hồ,district_Quận Đống Đa,district_Quận Ba Đình,district_Quận Hai Bà Trưng,district_Quận Thanh Xuân,district_Quận Nam Từ Liêm,district_Quận Hà Đông,district_Quận Long Biên,district_Quận Bắc Từ Liêm,district_Quận Hoàng Mai
31.0,122.0,1,25.0,5.0,5.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
14.0,52.0,1,8.0,4.0,5.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
5.6,55.0,1,5.0,5.0,3.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
10.1,57.0,1,4.0,4.2,5.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0
8.8,36.0,1,6.0,3.5,6.0,1,8.0,1,0,0,0,0,0,0,0,0,0,0
6.3,55.0,1,5.0,5.0,3.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
14.0,51.0,1,15.0,4.5,6.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0
1.78,105.0,1,10.0,7.5,5.0,1,11.0,0,0,0,0,0,1,0,0,0,0,0
14.5,33.0,1,20.0,5.0,6.0,1,4.0,0,0,0,0,1,0,0,0,0,0,0
25.0,53.0,1,30.0,5.5,5.0,1,4.0,0,0,0,0,1,0,0,0,0,0,0
35.0,90.0,1,20.0,5.8,8.0,0,6.0,0,1,0,0,0,0,0,0,0,0,0
13.5,75.0,1,4.0,10.0,7.0,1,11.0,0,0,0,0,0,1,0,0,0,0,0
6.68,126.0,1,20.0,5.0,5.0,0,5.0,0,0,1,0,0,0,0,0,0,0,0
49.5,105.0,1,30.0,7.0,6.0,4,8.0,0,0,0,0,1,0,0,0,0,0,0
22.0,55.0,1,15.0,4.5,5.0,2,5.0,0,0,1,0,0,0,0,0,0,0,0
27.0,55.0,1,30.0,13.0,4.0,4,4.0,1,0,0,0,0,0,0,0,0,0,0
20.0,60.0,1,20.0,5.2,8.0,4,7.0,1,0,0,0,0,0,0,0,0,0,0
17.3,70.0,1,20.0,6.0,6.0,4,4.0,0,0,1,0,0,0,0,0,0,0,0
39.9,136.0,1,20.0,6.0,9.0,3,6.0,0,0,0,0,1,0,0,0,0,0,0
17.0,55.0,1,20.0,5.0,7.0,4,5.0,0,0,1,0,0,0,0,0,0,0,0
11.0,50.0,0,7.0,4.0,4.0,4,4.0,0,0,0,0,1,0,0,0,0,0,0
12.7,52.0,1,4.0,4.0,4.0,1,4.0,1,0,0,0,0,0,0,0,0,0,0
14.0,80.0,1,6.0,5.0,1.0,2,2.0,0,1,0,0,0,0,0,0,0,0,0
6.2,55.0,1,6.0,4.5,4.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
12.5,80.0,1,6.0,5.0,2.0,2,2.0,0,1,0,0,0,0,0,0,0,0,0
10.0,50.0,1,6.0,6.0,4.0,2,4.0,0,1,0,0,0,0,0,0,0,0,0
10.7,48.0,1,10.0,4.0,5.0,2,4.0,0,0,0,0,0,0,0,0,0,1,0
9.8,91.0,1,10.0,4.7,2.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
10.6,51.0,1,8.0,4.0,5.0,1,3.0,1,0,0,0,0,0,0,0,0,0,0
9.6,71.0,1,3.5,3.6,5.0,2,10.0,1,0,0,0,0,0,0,0,0,0,0
12.0,43.0,1,14.0,4.0,5.0,0,4.0,0,0,0,0,0,1,0,0,0,0,0
5.4,46.0,1,5.0,4.3,3.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
5.9,40.0,1,4.0,4.0,6.0,1,4.0,0,1,0,0,0,0,0,0,0,0,0
5.6,55.0,1,5.0,5.0,3.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
10.7,48.0,1,10.0,4.0,5.0,2,4.0,0,0,0,0,0,0,0,0,0,1,0
9.8,91.0,1,10.0,4.7,2.0,2,3.0,0,1,0,0,0,0,0,0,0,0,0
10.6,51.0,1,8.0,4.0,5.0,1,3.0,1,0,0,0,0,0,0,0,0,0,0
10.1,57.0,1,4.0,4.2,5.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0
8.8,36.0,1,6.0,3.5,6.0,1,8.0,1,0,0,0,0,0,0,0,0,0,0
12.6,56.0,1,5.0,4.8,6.0,3,6.0,1,0,0,0,0,0,0,0,0,0,0
12.3,43.0,1,6.0,6.6,6.0,3,6.0,1,0,0,0,0,0,0,0,0,0,0
7.9,42.0,1,6.0,6.3,2.0,2,3.0,0,0,0,1,0,0,0,0,0,0,0
18.0,80.0,1,15.0,5.0,4.0,2,5.0,0,1,0,0,0,0,0,0,0,0,0
5.0,49.0,1,4.0,4.0,4.0,1,4.0,0,0,0,0,0,0,0,0,0,1,0
9.2,45.0,1,4.0,4.2,6.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
10.4,51.0,1,6.0,5.0,5.0,0,6.0,1,0,0,0,0,0,0,0,0,0,0
3.85,36.0,0,2.5,3.0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,0,1
23.0,70.0,1,12.0,4.5,6.0,2,6.0,0,0,0,1,0,0,0,0,0,0,0
17.5,70.0,0,7.5,4.8,5.0,0,5.0,1,0,0,0,0,0,0,0,0,0,0
34.0,80.0,1,6.0,5.3,7.0,3,10.0,0,0,0,0,0,1,0,0,0,0,0
50.0,130.0,1,33.0,9.0,5.0,4,5.0,0,0,0,0,1,0,0,0,0,0,0
42.0,120.0,1,23.0,5.0,3.0,0,3.0,0,0,1,0,0,0,0,0,0,0,0
48.0,188.0,1,25.0,5.5,4.0,0,4.0,0,0,1,0,0,0,0,0,0,0,0
50.0,108.0,1,23.0,4.5,5.0,0,5.0,0,0,1,0,0,0,0,0,0,0,0
38.0,50.0,1,23.0,7.8,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0
29.0,71.0,1,15.0,8.1,8.0,4,8.0,0,0,1,0,0,0,0,0,0,0,0
22.0,55.0,1,15.0,4.5,5.0,2,5.0,0,0,1,0,0,0,0,0,0,0,0
